listing_id,title,bhk,price,price_text,area_sqft,area_text,price_per_sqft,property_type,locality,address,url
78957895,"3 BHK Apartment for Sale in Young Aheria CGHS, Dwarka New Delhi",3,25500000.0,₹ 2.55 Cr,1400.0,1400 sqft,18214.285714285714,,Young Aheria CGHS,,
79133739,"3 BHK Apartment for Sale in Vishwas Nagar Apartments, Sector 23 Dwarka New Delhi",3,31000000.0,₹ 3.10 Cr,1800.0,1800 sqft,17222.222222222223,,Vishwas Nagar Apartments,,
80212727,"4 BHK Apartment for Sale in Belur Apartments, Sector 18 Dwarka New Delhi",4,41000000.0,₹ 4.10 Cr,1800.0,1800 sqft,22777.777777777777,,Belur Apartments,,
79144499,"3 BHK Apartment for Sale in DGS Apartment, Sector 22 Dwarka New Delhi",3,26500000.0,₹ 2.65 Cr,1500.0,1500 sqft,17666.666666666668,,DGS Apartment,,
81443787,3 BHK Builder Floor for Sale in Sector 8 Dwarka New Delhi,3,19000000.0,₹ 1.90 Cr,1000.0,1000 sqft,19000.0,,,,
67672859,"3 BHK Apartment for Sale in Din Apartment, Sector 4 Dwarka New Delhi",3,30500000.0,₹ 3.05 Cr,1650.0,1650 sqft,18484.848484848484,,Din Apartment,,
79113485,2 BHK Builder Floor for Sale in Lajpat Nagar 1 New Delhi,2,16500000.0,₹ 1.65 Cr,1000.0,1000 sqft,16500.0,,,,
74136471,"4 BHK Apartment for Sale in Raman Vihar Apartment, Sector 11 Dwarka New Delhi",4,31000000.0,₹ 3.10 Cr,2100.0,2100 sqft,14761.904761904761,,Raman Vihar Apartment,,
79091165,3 BHK Builder Floor for Sale in Lajpat Nagar 3 New Delhi,3,40000000.0,₹ 4 Cr,1800.0,1800 sqft,22222.222222222223,,,,
81436307,3 BHK Builder Floor for Sale in Poorvi Pitampura New Delhi,3,21500000.0,₹ 2.15 Cr,1125.0,125 sqyrd,19111.11111111111,,,,
79719043,5 BHK House for Sale in South Extension 1 New Delhi,5,92100000.00000001,₹ 9.21 Cr,1600.0,1600 sqft,57562.50000000001,,,,
72665579,3 BHK Apartment for Sale in Sector 18 Dwarka New Delhi,3,23500000.0,₹ 2.35 Cr,1530.0,1530 sqft,15359.477124183006,,,,
80188055,4 BHK Builder Floor for Sale in Rajouri Garden New Delhi,4,58000000.0,₹ 5.80 Cr,2650.0,2650 sqft,21886.79245283019,,,,
81233385,"4 BHK Apartment for Sale in Naveen Apartment, Sector 5 Dwarka New Delhi",4,31200000.0,₹ 3.12 Cr,1890.0,1890 sqft,16507.93650793651,,Naveen Apartment,,
79369707,"3 BHK Apartment for Sale in Mandakini Apartment, Sector 2 Dwarka New Delhi",3,24400000.0,₹ 2.44 Cr,1600.0,1600 sqft,15250.0,,Mandakini Apartment,,
81447493,3 BHK Apartment for Sale in Sector 11 Dwarka New Delhi,3,26800000.0,₹ 2.68 Cr,1650.0,1650 sqft,16242.424242424242,,,,
80514333,"3 BHK Apartment for Sale in Rashi Apartments, Sector 7 Dwarka New Delhi",3,26000000.0,₹ 2.60 Cr,1600.0,1600 sqft,16250.0,,Rashi Apartments,,
79010595,"4 BHK Apartment for Sale in Mayank Apartments, Dwarka New Delhi",4,36000000.0,₹ 3.60 Cr,2100.0,2100 sqft,17142.85714285714,,Mayank Apartments,,
79105119,"3 BHK Apartment for Sale in Harmony Apartment, Sector 23 Dwarka New Delhi",3,24000000.0,₹ 2.40 Cr,1300.0,1300 sqft,18461.53846153846,,Harmony Apartment,,
81459219,"4 BHK Apartment for Sale in DDA Flats Sector D Pocket 6, Sector D Vasant Kunj New Delhi",4,41500000.0,₹ 4.15 Cr,1350.0,1350 sqft,30740.74074074074,,DDA Flats Sector D Pocket 6,,
11904931,4 BHK House for Sale in Vasant Vihar New Delhi,4,320000000.0,₹ 32 Cr,4500.0,4500 sqft,71111.11111111111,,,,
81391685,5 BHK Builder Floor for Sale in Block B1 Janakpuri New Delhi,5,77500000.0,₹ 7.75 Cr,2925.0,2925 sqft,26495.726495726496,,,,
79890027,5 BHK House for Sale in Vasant Vihar New Delhi,5,780000000.0,₹ 78 Cr,7200.0,800 sqyrd,108333.33333333333,,,,
81004367,3 BHK Apartment for Sale in Vasant Kunj New Delhi,3,14000000.0,₹ 1.40 Cr,1200.0,1200 sqft,11666.666666666666,,,,
71626269,"3 BHK Apartment for Sale in Orchid The Consulate Apartment, Sector 24 Dwarka New Delhi",3,28500000.0,₹ 2.85 Cr,1700.0,1700 sqft,16764.70588235294,,Orchid The Consulate Apartment,,
80949347,"3 BHK Builder Floor for Sale in Mahavir Enclave, Block A Mahavir Enclave Part 1 New Delhi",3,8000000.0,₹ 80 Lac,850.0,850 sqft,9411.764705882353,,Mahavir Enclave,,
74897747,"3 BHK Apartment for Sale in Umang Winter Hills, Dwarka Mor New Delhi",3,19500000.0,₹ 1.95 Cr,975.0,975 sqft,20000.0,,Umang Winter Hills,,
80664827,"2 BHK Apartment for Sale in Janaki Apartment, Sector 22 Dwarka New Delhi",2,21000000.0,₹ 2.10 Cr,900.0,900 sqft,23333.333333333332,,Janaki Apartment,,
78739873,3 BHK Builder Floor for Sale in New Rajendra Nagar New Delhi,3,63000000.0,₹ 6.30 Cr,1800.0,1800 sqft,35000.0,,,,
79752453,4 BHK Builder Floor for Sale in Anand Vihar New Delhi,4,39000000.0,₹ 3.90 Cr,2430.0,270 sqyrd,16049.382716049382,,,,
