price,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Furnished_status,type_of_building,Price_sqft,log_price,has_parking,has_lift,is_new
9500000.0,1200.0,28.652429,77.1643181,2,2,2,Semi-Furnished,Flat,7916.666666666667,16.066802461833923,0,0,0
10500000.0,1020.0,28.3978564,77.07393158,2,2,2,Unknown,Flat,10294.117647058823,16.166885910365842,0,0,0
7500000.0,1505.0,28.512136,76.986899,2,2,2,Unknown,Flat,4983.388704318937,15.830413711839864,1,1,0
4800000.0,1232.0,28.652807235717773,77.45092010498047,6,3,2,Unfurnished,Flat,3896.103896103896,15.38412668421143,0,0,0
5600000.0,929.0,28.436305,77.13605,2,2,1,Unknown,Flat,6027.987082884823,15.53827733427679,0,0,0
8500000.0,1350.0,28.647938,77.340697,3,3,0,Unknown,Flat,6296.2962962962965,15.955576839107596,0,0,0
4700000.0,1085.0,28.646509,77.3814882767311,2,2,2,Unknown,Flat,4331.797235023041,15.363073279446223,0,0,0
8500000.0,1790.0,28.512136,76.986899,3,3,0,Unknown,Flat,4748.603351955308,15.955576839107596,0,0,0
10000000.0,1689.0,28.487018,76.998009,3,3,4,Semi-Furnished,Flat,5920.663114268798,16.118095750958314,1,1,1
18000000.0,2411.0,28.391644,77.06486457,3,3,3,Unknown,Flat,7465.781833264205,16.705882371415992,1,1,0
12400000.0,1650.0,28.6016822982437,77.0319327881991,3,2,2,Unknown,Flat,7515.151515151515,16.333207111220425,1,1,0
7700000.0,1685.0,28.5092080113141,77.4066255380327,3,4,4,Unfurnished,Flat,4569.73293768546,15.856731016694035,1,1,0
6000000.0,1050.0,28.648794,77.3425322478785,2,2,2,Unknown,Flat,5714.285714285715,15.607270193858982,0,0,0
12500000.0,1300.0,28.59344,77.065951,2,2,2,Unknown,Flat,9615.384615384615,16.341239282272525,1,1,0
6380000.0,1170.0,28.495893478393555,77.18599700927734,3,2,1,Semi-Furnished,Flat,5452.991452991453,15.668678812060772,1,1,1
7400000.0,1275.0,28.28709602355957,77.06906127929688,2,2,2,Semi-Furnished,Flat,5803.921568627451,15.816990693309524,1,1,1
8400000.0,1890.0,28.410466,76.962531,3,3,4,Unknown,Flat,4444.444444444444,15.943742382861155,1,1,0
6400000.0,1455.0,28.570142,77.3862730013034,3,2,3,Unknown,Individual House,4398.625429553264,15.671808704579888,1,1,0
19000000.0,1768.0,28.5934318343359,77.0442727572328,3,2,0,Unknown,Flat,10746.606334841628,16.759949589762293,1,1,0
4300000.0,1295.0,28.566914,77.436434,2,2,4,Unknown,Individual House,3320.4633204633205,15.274125813221904,1,0,0
23800000.0,3500.0,28.4818021,77.2200217,4,5,3,Unknown,Flat,6800.0,16.98519618065851,1,1,0
10500000.0,1850.0,28.548787,77.346032,3,4,2,Unknown,Flat,5675.675675675676,16.166885910365842,1,1,0
10800000.0,1966.0,28.247592,77.069185,2,2,1,Unknown,Flat,5493.387589013225,16.195056784687036,1,0,0
5500000.0,1350.0,28.6493479,77.3696259,2,2,0,Furnished,Flat,4074.074074074074,15.520258832020865,0,0,0
4320000.0,1040.0,28.509118,77.413416,2,2,3,Unknown,Flat,4153.846153846154,15.278766191701747,1,1,1
3000000.0,800.0,28.6452824,77.3621025,2,2,1,Semi-Furnished,Flat,3750.0,14.914123179965662,1,1,0
3500000.0,950.0,28.579593,77.445197,2,2,3,Unknown,Flat,3684.2105263157896,15.068273812173887,0,1,0
16000000.0,2000.0,28.4178669,77.0512457,4,4,3,Semi-Furnished,Flat,8000.0,16.588099342704055,1,0,0
3000000.0,900.0,28.685449,77.5092258,2,2,3,Unknown,Individual House,3333.333333333333,14.914123179965662,1,1,0
3300000.0,960.0,28.5128413669417,77.4895533166212,2,2,1,Unknown,Flat,3437.5,15.009433329466965,0,1,0
8200000.0,1371.0,28.433653,77.152919,2,2,3,Unknown,Flat,5981.035740335522,15.919644834185693,1,1,1
6000000.0,1750.0,28.475274,77.545978,3,3,1,Unknown,Flat,3428.5714285714284,15.607270193858982,1,1,0
4100000.0,1299.0,28.519997,77.376873,3,2,4,Unknown,Flat,3156.2740569668977,15.226497775576945,1,1,0
5200000.0,1365.0,28.60595893859864,77.44451141357422,3,2,3,Furnished,Flat,3809.5238095238096,15.46416937585933,1,1,0
21000000.0,2800.0,28.4655907,77.5114027,4,5,4,Unfurnished,Flat,7500.0,16.860033043306743,0,0,0
2650000.0,835.0,28.609898,77.436343,2,2,2,Unfurnished,Flat,3173.6526946107783,14.790070575320824,1,0,0
10000000.0,1000.0,28.6677244,77.0979515,2,2,0,Unfurnished,Individual House,10000.0,16.118095750958314,0,0,0
4500000.0,1000.0,28.63472366333008,77.04911041259766,3,2,1,Semi-Furnished,Flat,4500.0,15.319588176962746,1,0,0
6900000.0,1260.0,28.58548927307129,77.3993148803711,2,2,3,Unfurnished,Flat,5476.190476190476,15.747032114495013,1,1,0
13500000.0,2425.0,28.44456311,76.9550119,4,4,0,Semi-Furnished,Flat,5567.01030927835,16.41820031748273,0,0,0
4500000.0,1198.0,28.633363723754883,77.43121337890625,3,2,1,Furnished,Flat,3756.260434056762,15.319588176962746,0,0,0
32500000.0,3000.0,28.4969141,77.1652546,3,3,2,Unknown,Flat,10833.333333333334,17.296750678069195,1,1,0
11000000.0,1743.0,28.419032,77.028272,3,3,2,Unknown,Individual House,6310.9581181870335,16.213405921671733,1,0,1
3200000.0,650.0,28.59803581237793,77.07652282714844,2,2,1,Unfurnished,Flat,4923.076923076923,14.978661680269907,0,0,0
3200000.0,815.0,28.446343,77.515305,2,2,0,Unknown,Flat,3926.38036809816,14.978661680269907,0,0,0
3400000.0,1050.0,28.7005505,77.3286995,2,2,0,Unfurnished,Flat,3238.095238095238,15.039286283703994,0,0,0
11100000.000000002,2100.0,28.468477249145508,77.31389617919922,4,3,2,Furnished,Flat,5285.714285714286,16.22245575637265,0,0,0
3500000.0,900.0,28.6809994,77.356998,2,2,1,Unfurnished,Flat,3888.8888888888887,15.068273812173887,0,0,0
12500000.0,1836.0,28.414627,77.060127,3,3,3,Unknown,Flat,6808.278867102396,16.341239282272525,1,1,0
8500000.0,1495.0,28.502597,77.428742,3,2,0,Unknown,Flat,5685.61872909699,15.955576839107596,0,0,0
